Latitude,Longitude,Name,State,Country
15.5,75.5,Gadag taluk,Karnataka,IN
15.0,79.75,Kondapuram,Andhra Pradesh,IN
15.0,80.0,Gudluru,Andhra Pradesh,IN
15.25,74.25,Sanguem,Goa,IN
15.25,78.5,Allagadda,Andhra Pradesh,IN
15.25,74.5,Supa taluk,Karnataka,IN
15.25,75.5,Gadag taluk,Karnataka,IN
15.25,77.75,Peapally,Andhra Pradesh,IN
15.25,78.25,Banaganapalle,Andhra Pradesh,IN
15.25,76.0,Koppala taluku,Karnataka,IN
15.25,77.0,Ballari,Karnataka,IN
15.25,75.75,Mundargi taluku,Karnataka,IN
15.25,77.25,Chippagiri,Andhra Pradesh,IN
15.25,74.0,Salcete,Goa,IN
15.25,75.0,Kalaghatagi taluku,Karnataka,IN
15.25,74.75,Haliyala taluku,Karnataka,IN
15.25,76.25,Koppala taluku,Karnataka,IN
15.25,76.5,Hosapete,Karnataka,IN
15.25,77.5,Maddikera (East),Andhra Pradesh,IN
15.25,78.75,Giddalur,Andhra Pradesh,IN
15.25,76.75,Bellary taluk,Karnataka,IN
15.25,78.0,Owk Mandal,Andhra Pradesh,IN
15.25,75.25,Kundagola taluku,Karnataka,IN
15.25,79.0,Komarolu,Andhra Pradesh,IN
15.5,76.5,Gangavati taluku,Karnataka,IN
15.25,79.25,Chandra Sekhara Puram,Andhra Pradesh,IN
15.25,79.75,Ponnaluru,Andhra Pradesh,IN
15.25,79.5,Kanigiri,Andhra Pradesh,IN
15.25,80.0,Singarayakonda,Andhra Pradesh,IN
15.5,77.5,Aspari,Andhra Pradesh,IN
15.5,73.75,Panaji,Goa,IN
15.25,73.75,India,,IN
15.5,74.25,Satari,Goa,IN
15.5,74.0,Ponda,Goa,IN
15.5,78.5,Nandyal,Andhra Pradesh,IN
15.5,74.75,Kitturu taluku,Karnataka,IN
15.5,75.0,Dharwad,Karnataka,IN
15.5,75.25,Hubballi Taluku,Karnataka,IN
15.5,79.5,Kanigiri,Andhra Pradesh,IN
15.5,75.75,Gadag taluk,Karnataka,IN
15.5,76.0,Kukunoor taluku,Karnataka,IN
15.5,76.25,Koppala taluku,Karnataka,IN
15.5,77.0,Holagunda,Andhra Pradesh,IN
15.5,76.75,Gangavati taluku,Karnataka,IN
15.5,77.25,Alur,Andhra Pradesh,IN
15.5,77.75,Krishnagiri,Andhra Pradesh,IN
15.5,78.0,Veldurthi,Andhra Pradesh,IN
