Latitude,Longitude,Name,State,Country
31.5,76.5,Barsar,Himachal Pradesh,IN
32.5,76.5,Brahmaur,Himachal Pradesh,IN
32.5,77.5,Lahul,Himachal Pradesh,IN
33.5,73.5,Tehsil Kallar Syedan,Punjab,PK
33.5,79.5,Rutog Township,Tibet,CN
33.5,75.5,Chhatroo,Jammu and Kashmir,IN
34.5,78.5,Nubra,Ladakh,IN
31.5,78.5,Moorang,Himachal Pradesh,IN
32.5,75.5,Kathua,Jammu and Kashmir,IN
35.5,76.5,Ghanche,Gilgit-Baltistan,PK
33.5,76.5,Atholi (Paddar),Jammu and Kashmir,IN
31.5,79.5,Thoding Township,Tibet,CN
32.5,79.5,Zhaxigang,Tibet,CN
34.5,79.5,Hotan County,Xinjiang,CN
34.5,76.5,Kargil Tehsil,Ladakh,IN
34.5,74.5,Bandipora,Jammu and Kashmir,IN
34.5,77.5,Nubra,Ladakh,IN
33.5,78.5,Leh Tehsil,Ladakh,IN
35.5,78.5,Hotan County,Xinjiang,CN
35.5,74.5,Diāmir District,Gilgit-Baltistan,PK
34.5,75.5,Kargil Tehsil,Ladakh,IN
34.5,73.5,Muzaffarabad,Azad Kashmir,PK
35.5,73.5,Kohistān District,Khyber Pakhtunkhwa,PK
35.5,77.5,Kargilik County,Xinjiang,CN
36.5,73.5,Gilgit-Baltistan,Gilgit-Baltistan,PK
35.5,79.5,Hotan County,Xinjiang,CN
36.5,72.5,Upper Chitral District,Khyber Pakhtunkhwa,PK
36.5,78.5,Pishan County,Xinjiang,CN
36.5,75.5,Gilgit-Baltistan,Gilgit-Baltistan,PK
36.5,74.5,Hunza,Gilgit-Baltistan,PK
16.5,78.5,Uppunuthala mandal,Telangana,IN
19.5,77.5,Hadgaon,Maharashtra,IN
19.5,74.5,Rahuri,Maharashtra,IN
35.5,75.5,Baltistān District,Gilgit-Baltistan,PK
33.5,77.5,Leh Tehsil,Ladakh,IN
